Übersetzung,Wort,Antwort,Notizen,Tag
Was ist dein Name (m),شو أسمَك؟,0,0,g
Was ist dein Name? (f),شو أسمِك؟,0,0,g
Mein Name ist...,إسمي ...,0,0,g
Name,إسم ,0,0,Nomen
Wer bist du? (m),مين إنت؟ ,0,0,g
Wer bist du? (f),مين إنتي؟,0,0,g
Ich bin …,أنا …,0,0,g
Woher bist du?,مِن وين إنت / إنتي؟ ,0,0,g
Ich bin aus...,أنا مِن …,0,0,g
Wer ist das (m),مين هدا,0,0,g
Wer ist das (f),مين هي,0,0,g
Ich weiss nicht,ما بعرف,0,0,g
Arbeitskollege (m),زَميل ج زُمَلاء,0,0,Nomen
Arbeitskollege (f),زَميلة ج زَميلات,0,0,Nomen
Ein bisschen,شوي,0,0,g
was,شُو,0,0,g
und,وَ,0,0,g
auch,كَمان,0,0,g
Bist du (m) aus…?,إنتَ مِن …؟,0,0,g
Ja,نَعم,0,0,g
Nein,لا,0,0,g
"Sprichst du (m,f) …?",بتحكي …؟,0,0,g
"Was sprichst du (m,f)?",شُو بتحكي …؟,0,0,g
Hallo,مرحبا,أهْلين,0,g
Willkommen,أهْلاً وَسَهْلاً,أهْلاً فيك / فيكِ / فيكُن,0,g
Formale Begrüßung,السَّلامُ عَلَيْكُم,وعَلَيْكُم السَّلام,0,g
Guten Morgen,صباح الخي,صباح النور,0,g
Guten Abend,مَساء الخير,مَساء النّور,0,g
Freut mich dich kennen zu lernen,تْشرفْنا, الشرف إلي,0,g
Danke - gerne,شكراً,عفواً,0,g
Verabschiedung,مَع السَّلامِة,الله يْسَلْمَك / يْسَلْمِك /يْسَلِّمْكُن,0,g
Verabschiedung,الله مَعَك / مَعِك / مَعْكُن,وَ مَعَك / مَعِك / مَعْكُن,0,g
Deutschland,ألمانيا,0,0,g
deutsch (sprechen),الماني,0,0,g
Syrien,سورْيا,0,0,g
arabisch (sprechen),عَرَبي,0,0,g
Amerika,أمْريكا,0,0,g
englisch (sprechen),إنجليزي,0,0,g
Frankreich ,فرنسا,0,0,g
französisch (sprechen),فرنسي,0,0,g
Italien,إيطاليا,0,0,g
italienisch (sprechen),إيطاليا,0,0,g
Adresse,عَنْوَان,0,0,Nomen
Vorname,إسم,0,0,Nomen
Nachname,كَِنْية,0,0,Nomen
Straße,شارِعَ,0,0,Nomen
Land,بَلَد,0,0,Nomen
Stadt,مَدِينَة,0,0,Nomen
Hauptstadt,عاصِمة,0,0,Nomen
Postleitzahl,رَمْز بريدي,0, nicht mein,Nomen
Hausnumer,رَقم بيت,0,0,Nomen
Mutter,إم,0,0,Nomen
Vater,أب,0,0,Nomen
Bruder,أخ ج إخوات صبيان,0,0,Nomen
Schwester,إخِت ج إجوات بنات,0,0,Nomen
Geschwister,أخوات,0,0,Nomen
Sohn,إبن ج صبيان,0,0,Nomen
Kinder,أولاد,0,0,Nomen
Tochter,بنت,0,0,Nomen
Tante (Mutterseite),خالة,0,0,Nomen
Onkel (Mutterseite),خال,0,0,Nomen
Tante (Vaterseite),عمّة,0,0,Nomen
Onkel (Vaterseite),عمّ,0,0,Nomen
Oma,ستّ,0,0,Nomen
Opa,جدّ,0,0,Nomen
Familie,عيلة,0,0,Nomen
Cousin (m),إبن عمّ ,0,0,Nomen
Cousine (f),بنت خال,0,0,Nomen
Freund ,رَفيق ج رَفْقات,0,0,Nomen
Freundin,رفيقة ج رفيقات,0,0,Nomen
Ehemann,زوج,0,0,Nomen
Ehefrau,زوجة,0,0,Nomen
Nachbar,جارْ ج جِران,0,0,Nomen
Nachbarin,جارَة ج جَارات,0,0,Nomen
auch,كمان,0,0,g
jetzt,هلق,0,0,g
Eltern,أهل ,0,0,Nomen
Glückwunsch Hochzeit (hoch),باركَ ألله لكما و بكما وعليكما,0,0,g
Glückwunsch Hochzeit (dialekt),إنشالله العمر كلّوسعادة و صحة و نجاح,0,0,g